Address, Offset, Name, Disasm, Value
"0x4f8994", "0xf8994", "flt_4F8994", "dd 2.4434609", "2.443460941314697265625"
"0x4f8998", "0xf8998", "flt_4F8998", "dd 4.3633231e-3", "4.36332309618592262268066e-3"
"0x4f899c", "0xf899c", "flt_4F899C", "dd 2.9999998e1", "2.99999980926513671875e1"
"0x4f89a0", "0xf89a0", "flt_4F89A0", "dd 6.9999999e-1", "6.99999988079071044921875e-1"
"0x4f89a4", "0xf89a4", "flt_4F89A4", "dd 3.3333335e-2", "3.33333350718021392822266e-2"
"0x4f89a8", "0xf89a8", "flt_4F89A8", "dd 1.0e-3", "1.0000000474974513053894e-3"
"0x4f89ac", "0xf89ac", "flt_4F89AC", "dd 9.4999999e-1", "9.49999988079071044921875e-1"
"0x4f89b0", "0xf89b0", "flt_4F89B0", "dd 1.1920929e-7", "1.1920928955078125e-7"
"0x4f89b4", "0xf89b4", "flt_4F89B4", "dd 1.0e4", "1.e4"
"0x4f89bc", "0xf89bc", "flt_4F89BC", "dd 1.0", "1."
"0x4f89c0", "0xf89c0", "flt_4F89C0", "dd 1.2954", "1.29540002346038818359375"
"0x4f89c4", "0xf89c4", "flt_4F89C4", "dd 6.4770001e-1", "6.47700011730194091796875e-1"
"0x4f89c8", "0xf89c8", "flt_4F89C8", "dd 6.2499996e1", "6.2499996185302734375e1"
"0x4f89cc", "0xf89cc", "flt_4F89CC", "dd 1.0e8", "1.e8"
"0x4f89d0", "0xf89d0", "flt_4F89D0", "dd 1.6000001e-2", "1.60000007599592208862305e-2"
"0x4f8a4c", "0xf8a4c", "flt_4F8A4C", "dd 3.0517578e-5", "3.0517578125e-5"
"0x4f8a50", "0xf8a50", "flt_4F8A50", "dd 3.2768e4", "3.2768e4"
"0x4f8b18", "0xf8b18", "flt_4F8B18", "dd 1.00001e-5", "1.00000997917959466576576e-5"
"0x4f8bc8", "0xf8bc8", "flt_4F8BC8", "dd 9.5249999e-1", "9.5249998569488525390625e-1"
"0x4f8bcc", "0xf8bcc", "flt_4F8BCC", "dd 1.905", "1.9049999713897705078125"
"0x4f8bd8", "0xf8bd8", "flt_4F8BD8", "dd 1.8e1", "1.8e1"
"0x4f8bdc", "0xf8bdc", "flt_4F8BDC", "dd 9.6000001e-2", "9.60000008344650268554688e-2"
"0x4f8bec", "0xf8bec", "flt_4F8BEC", "dd 9.0e3", "9.e3"
"0x4f8bf0", "0xf8bf0", "flt_4F8BF0", "dd 5.0000002e-4", "5.00000023748725652694702e-4"
"0x4f8bf4", "0xf8bf4", "flt_4F8BF4", "dd 4.0e4", "4.e4"
"0x4f8bf8", "0xf8bf8", "flt_4F8BF8", "dd 1.25", "1.25"
"0x4f8bfc", "0xf8bfc", "flt_4F8BFC", "dd 1.5", "1.5"
"0x4f8c18", "0xf8c18", "flt_4F8C18", "dd 9.3000001e-1", "9.30000007152557373046875e-1"
"0x4f8c1c", "0xf8c1c", "flt_4F8C1C", "dd 6.25e1", "6.25e1"
"0x4f8c20", "0xf8c20", "flt_4F8C20", "dd 1.715", "1.71500003337860107421875"
"0x4f8c24", "0xf8c24", "flt_4F8C24", "dd 9.1500002e-1", "9.15000021457672119140625e-1"
"0x4f8c28", "0xf8c28", "flt_4F8C28", "dd 6.1000001e-1", "6.1000001430511474609375e-1"
"0x4f8c2c", "0xf8c2c", "flt_4F8C2C", "dd 2.1432893e9", "2.143289344e9"
"0x4f8c34", "0xf8c34", "flt_4F8C34", "dd 0.0", "0."
"0x4f8c58", "0xf8c58", "flt_4F8C58", "dd 4.4444445e-1", "4.44444447755813598632812e-1"
"0x4f8c5c", "0xf8c5c", "flt_4F8C5C", "dd 1.4", "1.39999997615814208984375"
"0x4f8c60", "0xf8c60", "flt_4F8C60", "dd 6.25e-2", "6.25e-2"
"0x4f8c64", "0xf8c64", "flt_4F8C64", "dd 2.0e-2", "1.99999995529651641845703e-2"
